nama,rating,tanggal,ulasan,nama_hotel,kota
Rendy R.,6,29 Jan 2023,Jangan deh lo nginep di sini ga jelas.,abian harmony hotel,Bali
nurul m. i.,8.5,28 Dec 2022,"Kamarnya besar, kasurnya nyaman, dan fasilitas terbilang lengkap. Walaupun ada beberapa interior yang rusak (keran air berkarat) tapi hotelnya cukup ok, dengan pelayanan yang baik 👍🏻.",abian harmony hotel,Bali
Gisa A. P.,8.5,03 Nov 2022,"Staff semua sangat rama, fasilitas oke. Tidak tersedia sikat+pasta gigi.",abian harmony hotel,Bali
Dew,8.8,Profil ini privat.,"Kurang terawat, maybe effect after pandemic.",abian harmony hotel,Bali
Lenie H.,9.7,22 Aug 2022,,abian harmony hotel,Bali
Ledi I.,9,21 Aug 2022,"Pelayanannya cukup memuaskan, dan ramah.",abian harmony hotel,Bali
Achmad F.,9.7,11 Aug 2022,"Selama 3 hari 2 malam nginap di sini pelayanannya super duper bagus, hehe semua staff ramah, sangat amat membantu dalam hal apapun, dan friendly sekali. Pesan kamar biasa eh dapet upgrade dari hotel karena bawa bayi. Cuma awalnya agak repot aja karena salah kamar tapi semua bisa teratasi langsung sat set sat set. Dengan harga yang murah dan fasilitas dan pelayanan yang oke, next kalau ke Bali dan ada rencana ke Nusa Penida bisa nginap di sini. Recommended kalau cari hotel budget dan kalau mau ke Nusa Penida bisa naik motor 10-15 menit. Tetap di pertahankan ya pelayanannya 👍",abian harmony hotel,Bali
Supri S.,5.4,04 Aug 2022,Tidak puas. Karena kamar yang diberikan tidak sesuai yang ditawarkan. Kamar tidak ada telfon kualitasnya kurang baik.,abian harmony hotel,Bali
Fatimah N.,6.7,31 Jul 2022,"Lift nya gak berfungsi, jadi upgrade cari kamar di lantai. 1 otomatis jadi lebih mahal. Sarapan nya juga gak buffet dibikin sesuai pesanan aja, gak asik ah. Bantal kecil orange perlu di cuci biar gak bau banget APEK. Wifii oke, swimpool oke.",abian harmony hotel,Bali
Alvin J.,6,12 Jul 2022,Kamar dan fasilitas nya agak bau.,abian harmony hotel,Bali
Hanwiwi H.,8.5,06 Jun 2022,,abian harmony hotel,Bali
Fery D. H.,9.4,14 Feb 2022,,abian harmony hotel,Bali
juni a.,9.4,14 Feb 2022,,abian harmony hotel,Bali
Muljadi P. S.,5.5,25 Jan 2022,"1. The location on the map was NOT correct. 2. Asked for twin beds, gave us double bed. Asked to change, gave us ones with no blanket. 3. We checked in 11PM. Only the security guy, he was the one who took us to the room. 4. Lack of room maintenance. Maybe because of the pandemic.",abian harmony hotel,Bali
Jonathan S. S.,8.5,02 Dec 2021,,abian harmony hotel,Bali
Yance D. F.,8.5,11 Feb 2020,Good place with affordable price.,abian harmony hotel,Bali
Katharina M.,9.7,29 Dec 2019,"The room was very spacious for the 4 of us, location is great very close to the beach, breakfast was good, the staffs were all very nice and helpful. Overall we had a really nice & pleasant stay at Abian Harmony Hotel & Spa. Highly recommended if you are looking for a place to stay in Sanur! Thank you :)",abian harmony hotel,Bali
Windy R. A. P.,6.7,15 Oct 2019,"I took the large room (superior) in 2nd floor, I came late night around 12.30 pm, the lightening in the 2nd floor was not enough I think so it kinda make me scare a bit as I came very midnight. The room was on the corner and very spacious but also very empty, there were no big mirror or sofa, so I feel like there is a big hole in this room. The household furnishing and bathroom design is quite old style I think. My room has a big balcony also which is nice and you can dry your clothes there as it faces the sun, this balcony also was huge, I think about 4-5 people can be up there. Breakfast was very very basic also I think, if you are in a hunger mode I supposed you will need to find extra food outside. The staffs were helpful and friendly, and the location was very strategic I like it. Nevertheless although I am not very happy with my room because I feel hollow and a little bit spooky I will not protest much as the price is also cheap, you get what you paid I must say. I took this also because I had to came midnight and in the morning checkout again for an event so I do not want to waste such money for a short time stay. Maybe try the other room and it will be better!",abian harmony hotel,Bali
Loisa M. P.,8.6,02 Oct 2019,"We, family of 4 enjoyed staying here, they are some good and not that good things. The good side are, big family room to accommodate the 4 of us, for breakfast they'll give you menu to choose from and some buffet (not much but enough). They changed the menus every Thursday. Not very good: the room is quite old, some leaking pipe and during our stay there the repairment took place, very noisy and dusty. The menu wise we need to pay for bacon, which is 17 thousand rupiah per slice?",abian harmony hotel,Bali
Ida B. G. D. W.,8.5,15 Mar 2019,Quiet place and calming hotel very satisfying,abian harmony hotel,Bali
Hanwiwi H.,8.5,06 Jun 2022,,abian harmony hotel,Bali
Fery D. H.,9.4,14 Feb 2022,,abian harmony hotel,Bali
juni a.,9.4,14 Feb 2022,,abian harmony hotel,Bali
Muljadi P. S.,5.5,25 Jan 2022,"1. The location on the map was NOT correct. 2. Asked for twin beds, gave us double bed. Asked to change, gave us ones with no blanket. 3. We checked in 11PM. Only the security guy, he was the one who took us to the room. 4. Lack of room maintenance. Maybe because of the pandemic.",abian harmony hotel,Bali
Jonathan S. S.,8.5,02 Dec 2021,,abian harmony hotel,Bali
Yance D. F.,8.5,11 Feb 2020,Good place with affordable price.,abian harmony hotel,Bali
Katharina M.,9.7,29 Dec 2019,"The room was very spacious for the 4 of us, location is great very close to the beach, breakfast was good, the staffs were all very nice and helpful. Overall we had a really nice & pleasant stay at Abian Harmony Hotel & Spa. Highly recommended if you are looking for a place to stay in Sanur! Thank you :)",abian harmony hotel,Bali
